"site_id","安","巴","白","包","兵","步","才","蔡","曹","曾","沈","陳","程","戴","鄧","丁","董","杜","范","方","風","馮","傅","甘","高","葛","龔","古","谷","官","郭","何","洪","侯","胡","華","黄","黃","紀","簡","江","姜","蔣","金","康","柯","賴","藍","雷","黎","李","豊","力","連","梁","廖","林","凌","留","劉","柳","盧","陸","呂","羅","馬","買","麥","毛","穆","歐","潘","彭","錢","邱","全","饒","阮","沙","邵","施","石","史","司","松","宋","蘇","孫","湯","唐","田","童","凃","涂","汪","王","魏","温","溫","翁","巫","吳","伍","武","夏","蕭","謝","辛","幸","徐","許","薛","顏","嚴","楊","姚","葉","易","尤","游","余","俞","袁","粘","詹","張","張簡","章","趙","鄭","鍾","鐘","周","朱","莊","卓","宗"
"高雄市阿蓮區",NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,1.4,1.3,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,1.5,NA,8.3,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,1.9,NA,NA,NA,2.3,NA,NA,NA,3,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4.3,NA,NA,NA,3.8,NA,NA,NA
"高雄市大寮區",NA,NA,NA,NA,NA,NA,NA,4.5,NA,1.2,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,2.6,NA,NA,NA,NA,7.4,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,7.9,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1.7,NA,NA,NA,1.9,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,2.9,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA
"高雄市大社區",NA,NA,NA,NA,NA,NA,NA,2.2,NA,1.7,NA,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.9,NA,NA,NA,NA,6.7,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,8.1,NA,NA,2.2,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,1.6,NA,NA,NA,5.4,NA,NA,NA,2.1,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA
"高雄市大樹區",NA,NA,NA,NA,NA,NA,NA,3.6,NA,1.5,NA,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,1.4,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,4.2,NA,NA,NA,1.1,NA,6.1,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,5.2,NA,NA,NA,2.4,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,1.6,NA,NA,NA,NA,3.5,NA,NA
"高雄市鳳山區",NA,NA,NA,NA,NA,NA,NA,3.6,NA,1.4,NA,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,2,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,6.9,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,1.9,NA,NA,NA,2.6,NA,NA,NA,2.6,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,2.2,NA,NA,1.1,NA,NA,NA,NA
"高雄市岡山區",NA,NA,NA,NA,NA,NA,NA,4.7,NA,2.2,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,1.7,NA,1.5,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,6.6,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,1.3,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,1.3,NA,NA,NA,1.9,NA,NA,NA,3.2,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,4.1,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA
"高雄市鼓山區",NA,NA,NA,NA,NA,NA,NA,3.6,NA,1.4,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2.4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,6.7,NA,NA,2.8,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,1.8,NA,NA,NA,2.9,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,1.9,NA,NA,1.1,NA,1.2,NA,NA
"高雄市湖內區",NA,NA,NA,NA,NA,NA,NA,2.8,NA,2.2,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,1,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,10.4,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,3.9,NA,NA,NA,1.9,NA,NA,NA,1.6,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,2.7,NA,NA,NA,NA,1.3,NA,NA
"高雄市茄萣區",NA,NA,NA,NA,NA,NA,NA,1.5,NA,3.2,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,11.5,NA,NA,1.5,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,1.2,NA,2.9,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.1,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA
"高雄市甲仙區",NA,NA,NA,NA,NA,NA,NA,1.2,NA,1.6,NA,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,8.2,NA,NA,8.5,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,1.8,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,1.9,NA,NA,1.2,NA,NA,NA,NA
